59379,4,35
59380,6,20
59381,0,0
59382,20,25
59383,20,25
59384,20,25
59385,18,25
61414,6,25
59387,0,0
59388,0,0
60395,0,0
59391,4,25
59393,20,25
59394,20,25
59395,21,25
62858,20,25
62859,19,25
59399,0,0
59400,0,0
61862,0,0
59401,0,0
59403,9,24
59406,10,24
59407,0,16
59408,2,16
59409,9,16
59410,9,16
59411,16,16
59412,16,16
63335,9,16
59414,26,26
62073,17,26
60782,0,10
59416,20,20
59417,20,20
59418,18,18
59419,7,18
59420,24,24
59421,24,24
59422,24,24
59425,25,24
62884,10,20
61448,10,20
59427,17,28
59428,17,18
59429,17,16
59672,16,18
59430,25,24
59431,25,24
59432,0,8
59544,26,40
59545,2,8
59433,19,20
60303,1,2
63362,13,20
59435,15,20
62887,21,20
59542,1,8
60652,0,8
60304,0,2
63363,9,8
59438,2,6
63373,6,6
59547,0,16
60234,4,12
59439,3,20
63197,10,20
59519,10,30
59521,8,24
59522,11,24
59525,6,24
59526,19,20
59988,13,20
59527,13,24
59529,8,24
59530,16,30
59531,13,30
59532,0,0
59533,5,9
62584,13,24
59535,13,24
59489,5,24
59490,6,24
63174,10,24
59914,13,20
59491,3,25
59495,8,24
60938,6,24
63138,9,9
